ID,SMILES,pKi
CHEMBL1256417,Cc1cc(C)c2oc(Nc3ccc(-c4nn([C@H]5CC[C@@H](N6CCN(C)CC6)CC5)c5ncnc(N)c45)cc3F)nc2c1,5.6439741428068775
CHEMBL1256418,Cc1cc(Br)c2oc(Nc3ccc(-c4cn([C@H]5CC[C@@H](N6CCN(C)CC6)CC5)c5ncnc(N)c45)cc3F)nc2c1,5.838631997765026
CHEMBL1256419,CN1CCN([C@H]2CC[C@@H](n3nc(-c4ccc(Nc5nc6cccc(C#N)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,5.55129368009492
CHEMBL1256420,COC(=O)c1cccc2nc(Nc3ccc(-c4nn([C@H]5CC[C@@H](N6CCN(C)CC6)CC5)c5ncnc(N)c45)cc3)oc12,5.44490555142168
CHEMBL1256421,CN1CCN([C@H]2CC[C@@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)c(F)c4)c4c(N)ncnc43)CC2)CC1,6.0695604052333
CHEMBL1256422,CN1CCN([C@H]2CC[C@@H](n3nc(-c4ccc(Nc5nc6cc(Cl)ccc6o5)c(F)c4)c4c(N)ncnc43)CC2)CC1,5.8326826652518236
CHEMBL1256423,Cc1cc(Cl)c2oc(Nc3ccc(-c4nn([C@H]5CC[C@@H](N6CCN(C)CC6)CC5)c5ncnc(N)c45)cc3)nc2c1,5.94692155651658
CHEMBL1256424,CN1CCN([C@H]2CC[C@@H](n3nc(-c4ccc(Nc5nc6cc(Cl)cc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,6.1944991418416
CHEMBL1256425,CC(C)N1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,7.270025714300444
CHEMBL1256426,CC(C)N1CCN([C@H]2CC[C@@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,6.492144128304169
CHEMBL1256427,COCCCN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,6.96657624451305
CHEMBL1256428,COCCCN1CCN([C@H]2CC[C@@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,6.058488567365597
CHEMBL1256429,CN(C)C(=O)CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,5.735182176990463
CHEMBL1256430,CC(C)N1CCC(N2CCC(n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,7.013228265733755
CHEMBL1256431,COCCCN1CCC(N2CCC(n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,6.578396073130168
CHEMBL1256432,CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)c(F)c4)c4c(N)ncnc43)CC2)CC1,7.431798275933005
CHEMBL1256433,CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)c(Cl)c4)c4c(N)ncnc43)CC2)CC1,7.200659450546418
CHEMBL1256434,Cc1cc(-c2nn([C@H]3CC[C@H](N4CCN(C)CC4)CC3)c3ncnc(N)c23)ccc1Nc1nc2cccc(Cl)c2o1,6.806875401645538
CHEMBL1256435,CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4Cl)c4c(N)ncnc43)CC2)CC1,7.0655015487564325
CHEMBL1256436,Cc1cc(Nc2nc3cccc(Cl)c3o2)ccc1-c1nn([C@H]2CC[C@H](N3CCN(C)CC3)CC2)c2ncnc(N)c12,6.275724130399211
CHEMBL1257769,CN1CCN([C@H]2CC[C@@H](n3nc(-c4ccc(Nc5nc6ccccc6o5)cc4)c4c(N)ncnc43)CC2)CC1,5.779891911959945
CHEMBL1257888,CN1CCN([C@H]2CC[C@@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,6.405607449624574
CHEMBL1257998,CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,7.501689446210399
CHEMBL1258118,Nc1ncnc2c1c(-c1ccc(Nc3nc4cccc(Cl)c4o3)cc1)nn2[C@H]1CC[C@H](N2CCOCC2)CC1,5.991399828238082
CHEMBL1258231,CN1CCC(N2CCC(n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,7.00436480540245
CHEMBL1270230,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1,5.0
CHEMBL1614725,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,7.638272163982407
CHEMBL1614726,OCCOCCn1ccc2ncnc(Nc3cnc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,6.376750709602099
CHEMBL1738758,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCO)CC4)c2)CC1,5.0
CHEMBL1921812,Clc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,7.455931955649724
CHEMBL1921813,COc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,6.537602002101044
CHEMBL1922897,Clc1cc(Nc2ncnc3cc[nH]c23)ccc1Oc1ccccc1,6.958607314841775
CHEMBL1922898,Fc1ccccc1Oc1ccc(Nc2ncnc3cc[nH]c23)cc1Cl,7.214670164989233
CHEMBL1922899,Fc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,6.823908740944319
CHEMBL1922900,Clc1ccccc1Oc1ccc(Nc2ncnc3cc[nH]c23)cc1Cl,7.568636235841012
CHEMBL1922901,N#Cc1ccccc1Oc1ccc(Nc2ncnc3cc[nH]c23)cc1Cl,7.292429823902063
CHEMBL1922902,N#Cc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,6.823908740944319
CHEMBL1922903,N#Cc1ccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)cc1,6.229147988357855
CHEMBL1922904,FC(F)(F)c1ccccc1Oc1ccc(Nc2ncnc3cc[nH]c23)cc1Cl,6.823908740944319
CHEMBL1922905,FC(F)(F)c1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,7.173925197299173
CHEMBL1922906,FC(F)(F)Oc1ccccc1Oc1ccc(Nc2ncnc3cc[nH]c23)cc1Cl,6.6777807052660805
CHEMBL1922998,FC(F)(F)Oc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,6.657577319177793
CHEMBL1922999,Cc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,7.698970004336019
CHEMBL1923000,Fc1cccc(COc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,8.113509274827518
CHEMBL1923001,Clc1cc(Nc2ncnc3cc[nH]c23)ccc1OCc1ccccn1,7.7447274948966935
CHEMBL1923002,Cc1ccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2C)cn1,5.721246399047171
CHEMBL1923003,Cn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21,8.036212172654444
CHEMBL1923004,Cn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,7.568636235841012
CHEMBL1923005,Cn1ccc2ncnc(Nc3ccc(Oc4cccc(OC(F)(F)F)c4)c(Cl)c3)c21,7.301029995663981
CHEMBL1923006,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21,8.022276394711152
CHEMBL1923007,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,7.468521082957745
CHEMBL1923008,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc(OC(F)(F)F)c4)c(Cl)c3)c21,6.958607314841775
CHEMBL1923009,OCCOCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21,8.244125144327509
CHEMBL1923010,OCCOCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,7.823908740944319
CHEMBL1923011,OCCOCCn1ccc2ncnc(Nc3ccc(Oc4cccc(OC(F)(F)F)c4)c(Cl)c3)c21,7.309803919971486
CHEMBL1923012,OCCCCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,7.481486060122112
CHEMBL1923013,OCCNCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,7.657577319177793
CHEMBL1923014,OCCSCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,7.356547323513812
CHEMBL1923015,[O-][S+](CCO)CCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,7.508638306165727
CHEMBL1923016,O=S(=O)(CCO)CCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,7.3979400086720375
CHEMBL1923017,Cc1cc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c2n1CCOCCO,7.42021640338319
CHEMBL1923018,N#Cc1cc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c2n1CCOCCO,6.638272163982407
CHEMBL1923019,O=C(CO)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,8.0
CHEMBL1923020,CN(CCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21)C(=O)CO,7.823908740944319
CHEMBL1923021,CC(C)(O)C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,7.455931955649724
CHEMBL1923022,CS(=O)(=O)O.O=C(CCO)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,8.142667503568731
CHEMBL1933576,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc(C(N)=O)cn4C)n3)c2)CC1,5.0
CHEMBL1933582,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc5c(n4C)CCNC5=O)n3)c2)CC1,5.0
CHEMBL225519,O=C1NCCc2[nH]c(-c3ccncc3)cc21,5.0
CHEMBL2386993,Nc1ncnc2c1c(C(=O)c1cccc(NS(=O)(=O)c3c(F)cccc3F)c1)cn2C1CCCC1,6.596879478824182
CHEMBL2386994,Nc1ncnc2c1c(C(=O)c1cccc(NC(=O)Nc3c(F)cccc3F)c1)cn2C1CCCC1,7.173925197299173
CHEMBL2386995,Nc1ncnc2c1c(C(=O)c1ccc(NS(=O)(=O)c3c(F)cccc3F)cc1)cn2C1CCCC1,6.114073660198569
CHEMBL2386996,Nc1ncnc2c1c(C(=O)c1ccc(NC(=O)Nc3c(F)cccc3F)cc1)cn2C1CCCC1,6.5951662833800615
CHEMBL2386998,Nc1ncnc2c1c(C(=O)c1cccc(NC(=O)Nc3ccc(Cl)cc3)c1)cn2C1CCCC1,8.337242168318426
CHEMBL2386999,Nc1ncnc2c1c(C(=O)c1cccc(NC(=O)Nc3ccc(Cl)cc3Cl)c1)cn2C1CCCC1,8.920818753952375
CHEMBL2387000,Cc1ccc(F)c(NC(=O)Nc2cccc(C(=O)c3cn(C4CCCC4)c4ncnc(N)c34)c2)c1,9.050609993355087
CHEMBL2387001,COc1ccc(C)cc1NC(=O)Nc1cccc(C(=O)c2cn(C3CCCC3)c3ncnc(N)c23)c1,9.161150909262744
CHEMBL2387004,Nc1ncnc2c1c(-c1nc3ccc(NS(=O)(=O)c4c(F)cccc4F)cc3[nH]1)cn2C1CCCC1,6.285670240254767
CHEMBL2387005,Nc1ncnc2c1c(-c1nc3ccc(NC(=O)Nc4c(F)cccc4F)cc3[nH]1)cn2C1CCCC1,6.950781977329818
CHEMBL3086102,C=CC(=O)N1CC[C@H](N2C(=O)N(c3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,8.522878745280337
CHEMBL3309990,Nc1nc2c3c(F)cccc3nc(Cc3ccc4c(c3)OCO4)n2n1,5.0
CHEMBL3309995,Nc1ccc2c(c1)nc(Cc1ccc3c(c1)OCO3)n1nc(N)nc21,5.0
CHEMBL3309997,OCCCNc1ccc2c(c1)nc(-c1ccc3c(c1)OCO3)n1ncnc21,5.0
CHEMBL3309998,Nc1nc2c3ccc(NCCO)cc3nc(Cc3ccc4c(c3)OCO4)n2n1,5.0
CHEMBL3310151,CN1CCN(c2cc(F)c3c(c2)nc(Cc2ccc4c(c2)OCO4)n2nc(N)nc32)CC1,5.0
CHEMBL3622673,C#Cc1cccc(Nc2ncnc3cc(OCC)c(NC(=O)/C=C/CN4CCCCC4)cc23)c1,8.384775539310862
CHEMBL3956925,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(NC4CN(C(C)=O)C4)cc3OC)ncc2C(F)(F)F)c1,8.301029995663981
CHEMBL3962343,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(NC(C)C)cc3OC)ncc2Cl)c1,7.187086643357144
CHEMBL3967836,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(NC4CN(C(=O)OC(C)(C)C)C4)cc3OC)ncc2C(F)(F)F)c1,6.698970004336019
CHEMBL3973190,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(NC(C)C)cc3OC)ncc2C(F)(F)F)c1,7.698970004336019
CHEMBL3985592,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(NC4CN(CCF)C4)cc3OC)ncc2C(F)(F)F)c1,8.301029995663981
CHEMBL4650319,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,8.481486060122112
CHEMBL587723,CCN1CCN(Cc2ccc(-c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1,8.698970004336019
